sessionIx,blockIx,trialIx,trialOns,waitForTrigger,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur
1,0,76,152,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,0,77,154,FALSE,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6
1,0,78,156,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,79,158,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,80,160,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,81,162,FALSE,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6
1,0,82,164,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,83,166,FALSE,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6
1,0,84,168,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,85,170,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,86,172,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,87,174,FALSE,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6
1,0,88,176,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,89,178,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,90,180,FALSE,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6
1,0,91,182,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,92,184,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,93,186,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,94,188,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,0,95,190,FALSE,0,0,0.2,,,,0,0.2,1.2,1,1,0.366,0.6
1,0,96,192,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,97,194,FALSE,0,0,0.2,,,,1,0.2,1.2,0,0,0.266,0.6
1,0,98,196,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,0,99,198,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,100,212,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,101,214,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,102,216,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,103,218,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
