sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,0,78,156,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,79,158,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,80,160,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,81,162,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6,0.6
1,0,82,164,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,83,166,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6,0.6
1,0,84,168,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,85,170,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,86,172,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,87,174,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6,0.6
1,0,88,176,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,89,178,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,90,180,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6,0.6
1,0,91,182,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,92,184,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,93,186,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,94,188,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,0,95,190,0,0,0.2,,,,0,0.2,1.2,1,1,0.366,0.6,0.6
1,0,96,192,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,97,194,0,0,0.2,,,,1,0.2,1.2,0,0,0.266,0.6,0.6
1,0,98,196,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,0,99,198,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,100,212,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,101,214,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,102,216,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,103,218,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,104,220,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,105,222,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,106,224,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,107,226,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6,0.6
