s1Ix,s2Ix,keyCount_f,keyCount_b,keyCount_e,keyCount_a,trialCorrect,trialType,trialResponseType,trialFeedback
4,0,0,0,0,0,FALSE,SL,NR,you must respond with right
5,0,0,0,1,1,FALSE,SL,RB,try to stop left
5,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
5,0,0,0,0,1,TRUE,SL,RR,correct
5,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
5,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
5,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
5,0,0,0,0,0,FALSE,SL,NR,you must respond with right
6,0,1,1,0,0,FALSE,SL,RB,try to stop left
6,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
6,0,0,1,0,0,TRUE,SL,RR,correct
6,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
6,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
6,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
6,0,0,0,0,0,FALSE,SL,NR,you must respond with right
7,0,0,0,1,1,FALSE,SL,RB,try to stop left
7,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
7,0,0,0,0,1,TRUE,SL,RR,correct
7,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
7,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
7,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
7,0,0,0,0,0,FALSE,SL,NR,you must respond with right
8,0,1,1,0,0,FALSE,SL,RB,try to stop left
8,0,1,0,0,0,FALSE,SL,RL,you must respond with other hand
8,0,0,1,0,0,TRUE,SL,RR,correct
8,0,0,0,1,1,FALSE,SL,RBO,try to stop other left finger
8,0,0,0,1,0,FALSE,SL,RLO,you must respond with other left finger
8,0,0,0,0,1,FALSE,SL,RRO,you must respond with other finger
8,0,0,0,0,0,FALSE,SL,NR,you must respond with right
9,0,0,0,1,1,FALSE,SL,RB,try to stop left
9,0,0,0,1,0,FALSE,SL,RL,you must respond with other hand
9,0,0,0,0,1,TRUE,SL,RR,correct
9,0,1,1,0,0,FALSE,SL,RBO,try to stop other left finger
9,0,1,0,0,0,FALSE,SL,RLO,you must respond with other left finger
9,0,0,1,0,0,FALSE,SL,RRO,you must respond with other finger
9,0,0,0,0,0,FALSE,SL,NR,you must respond with right
0,1,1,1,0,0,FALSE,SR,RB,try to stop right
0,1,1,0,0,0,TRUE,SR,RL,correct
0,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
0,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
0,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
0,1,0,0,0,1,FALSE,SR,RRO,you must respond with other right finger
0,1,0,0,0,0,FALSE,SR,NR,you must respond with left
1,1,0,0,1,1,FALSE,SR,RB,try to stop right
1,1,0,0,1,0,TRUE,SR,RL,correct
1,1,0,0,0,1,FALSE,SR,RR,you must respond with other hand
1,1,1,1,0,0,FALSE,SR,RBO,try to stop other right finger
1,1,1,0,0,0,FALSE,SR,RLO,you must respond with other finger
1,1,0,1,0,0,FALSE,SR,RRO,you must respond with other right finger
1,1,0,0,0,0,FALSE,SR,NR,you must respond with left
2,1,1,1,0,0,FALSE,SR,RB,try to stop right
2,1,1,0,0,0,TRUE,SR,RL,correct
2,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
2,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
2,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
2,1,0,0,0,1,FALSE,SR,RRO,you must respond with other right finger
2,1,0,0,0,0,FALSE,SR,NR,you must respond with left
3,1,0,0,1,1,FALSE,SR,RB,try to stop right
3,1,0,0,1,0,TRUE,SR,RL,correct
3,1,0,0,0,1,FALSE,SR,RR,you must respond with other hand
3,1,1,1,0,0,FALSE,SR,RBO,try to stop other right finger
3,1,1,0,0,0,FALSE,SR,RLO,you must respond with other finger
3,1,0,1,0,0,FALSE,SR,RRO,you must respond with other right finger
3,1,0,0,0,0,FALSE,SR,NR,you must respond with left
4,1,1,1,0,0,FALSE,SR,RB,try to stop right
4,1,1,0,0,0,TRUE,SR,RL,correct
4,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
4,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
4,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
4,1,0,0,0,1,FALSE,SR,RRO,you must respond with other right finger
4,1,0,0,0,0,FALSE,SR,NR,you must respond with left
5,1,0,0,1,1,FALSE,SR,RB,try to stop right
5,1,0,0,1,0,TRUE,SR,RL,correct
5,1,0,0,0,1,FALSE,SR,RR,you must respond with other hand
5,1,1,1,0,0,FALSE,SR,RBO,try to stop other right finger
5,1,1,0,0,0,FALSE,SR,RLO,you must respond with other finger
5,1,0,1,0,0,FALSE,SR,RRO,you must respond with other right finger
5,1,0,0,0,0,FALSE,SR,NR,you must respond with left
6,1,1,1,0,0,FALSE,SR,RB,try to stop right
6,1,1,0,0,0,TRUE,SR,RL,correct
6,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
6,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
6,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
6,1,0,0,0,1,FALSE,SR,RRO,you must respond with other right finger
6,1,0,0,0,0,FALSE,SR,NR,you must respond with left
7,1,0,0,1,1,FALSE,SR,RB,try to stop right
7,1,0,0,1,0,TRUE,SR,RL,correct
7,1,0,0,0,1,FALSE,SR,RR,you must respond with other hand
7,1,1,1,0,0,FALSE,SR,RBO,try to stop other right finger
7,1,1,0,0,0,FALSE,SR,RLO,you must respond with other finger
7,1,0,1,0,0,FALSE,SR,RRO,you must respond with other right finger
7,1,0,0,0,0,FALSE,SR,NR,you must respond with left
8,1,1,1,0,0,FALSE,SR,RB,try to stop right
8,1,1,0,0,0,TRUE,SR,RL,correct
8,1,0,1,0,0,FALSE,SR,RR,you must respond with other hand
8,1,0,0,1,1,FALSE,SR,RBO,try to stop other right finger
8,1,0,0,1,0,FALSE,SR,RLO,you must respond with other finger
8,1,0,0,0,1,FALSE,SR,RRO,you must respond with other right finger
8,1,0,0,0,0,FALSE,SR,NR,you must respond with left
9,1,0,0,1,1,FALSE,SR,RB,try to stop right
9,1,0,0,1,0,TRUE,SR,RL,correct
9,1,0,0,0,1,FALSE,SR,RR,you must respond with other hand
9,1,1,1,0,0,FALSE,SR,RBO,try to stop other right finger
9,1,1,0,0,0,FALSE,SR,RLO,you must respond with other finger
9,1,0,1,0,0,FALSE,SR,RRO,you must respond with other right finger
9,1,0,0,0,0,FALSE,SR,NR,you must respond with left
0,2,1,1,0,0,FALSE,SB,RB,try to stop both
0,2,1,0,0,0,FALSE,SB,RL,try to stop both
0,2,0,1,0,0,FALSE,SB,RR,try to stop both
0,2,0,0,1,1,FALSE,SB,RBO,try to stop
0,2,0,0,1,0,FALSE,SB,RLO,try to stop
0,2,0,0,0,1,FALSE,SB,RRO,try to stop
0,2,0,0,0,0,TRUE,SB,NR,correct
1,2,0,0,1,1,FALSE,SB,RB,try to stop both
1,2,0,0,1,0,FALSE,SB,RL,try to stop both
1,2,0,0,0,1,FALSE,SB,RR,try to stop both
1,2,1,1,0,0,FALSE,SB,RBO,try to stop
1,2,1,0,0,0,FALSE,SB,RLO,try to stop
1,2,0,1,0,0,FALSE,SB,RRO,try to stop
1,2,0,0,0,0,TRUE,SB,NR,correct
2,2,1,1,0,0,FALSE,SB,RB,try to stop both
2,2,1,0,0,0,FALSE,SB,RL,try to stop both
2,2,0,1,0,0,FALSE,SB,RR,try to stop both
2,2,0,0,1,1,FALSE,SB,RBO,try to stop
2,2,0,0,1,0,FALSE,SB,RLO,try to stop
2,2,0,0,0,1,FALSE,SB,RRO,try to stop
2,2,0,0,0,0,TRUE,SB,NR,correct
3,2,0,0,1,1,FALSE,SB,RB,try to stop both
3,2,0,0,1,0,FALSE,SB,RL,try to stop both
3,2,0,0,0,1,FALSE,SB,RR,try to stop both
3,2,1,1,0,0,FALSE,SB,RBO,try to stop
3,2,1,0,0,0,FALSE,SB,RLO,try to stop
3,2,0,1,0,0,FALSE,SB,RRO,try to stop
3,2,0,0,0,0,TRUE,SB,NR,correct
4,2,1,1,0,0,FALSE,SB,RB,try to stop both
4,2,1,0,0,0,FALSE,SB,RL,try to stop both
4,2,0,1,0,0,FALSE,SB,RR,try to stop both
4,2,0,0,1,1,FALSE,SB,RBO,try to stop
4,2,0,0,1,0,FALSE,SB,RLO,try to stop
4,2,0,0,0,1,FALSE,SB,RRO,try to stop
4,2,0,0,0,0,TRUE,SB,NR,correct
5,2,0,0,1,1,FALSE,SB,RB,try to stop both
5,2,0,0,1,0,FALSE,SB,RL,try to stop both
5,2,0,0,0,1,FALSE,SB,RR,try to stop both
5,2,1,1,0,0,FALSE,SB,RBO,try to stop
5,2,1,0,0,0,FALSE,SB,RLO,try to stop
5,2,0,1,0,0,FALSE,SB,RRO,try to stop
5,2,0,0,0,0,TRUE,SB,NR,correct
6,2,1,1,0,0,FALSE,SB,RB,try to stop both
6,2,1,0,0,0,FALSE,SB,RL,try to stop both
6,2,0,1,0,0,FALSE,SB,RR,try to stop both
6,2,0,0,1,1,FALSE,SB,RBO,try to stop
6,2,0,0,1,0,FALSE,SB,RLO,try to stop
6,2,0,0,0,1,FALSE,SB,RRO,try to stop
6,2,0,0,0,0,TRUE,SB,NR,correct
7,2,0,0,1,1,FALSE,SB,RB,try to stop both
7,2,0,0,1,0,FALSE,SB,RL,try to stop both
7,2,0,0,0,1,FALSE,SB,RR,try to stop both
7,2,1,1,0,0,FALSE,SB,RBO,try to stop
7,2,1,0,0,0,FALSE,SB,RLO,try to stop
7,2,0,1,0,0,FALSE,SB,RRO,try to stop
7,2,0,0,0,0,TRUE,SB,NR,correct
8,2,1,1,0,0,FALSE,SB,RB,try to stop both
8,2,1,0,0,0,FALSE,SB,RL,try to stop both
8,2,0,1,0,0,FALSE,SB,RR,try to stop both
8,2,0,0,1,1,FALSE,SB,RBO,try to stop
8,2,0,0,1,0,FALSE,SB,RLO,try to stop
8,2,0,0,0,1,FALSE,SB,RRO,try to stop
8,2,0,0,0,0,TRUE,SB,NR,correct
9,2,0,0,1,1,FALSE,SB,RB,try to stop both
9,2,0,0,1,0,FALSE,SB,RL,try to stop both
9,2,0,0,0,1,FALSE,SB,RR,try to stop both
9,2,1,1,0,0,FALSE,SB,RBO,try to stop
9,2,1,0,0,0,FALSE,SB,RLO,try to stop
9,2,0,1,0,0,FALSE,SB,RRO,try to stop
9,2,0,0,0,0,TRUE,SB,NR,correct
0,3,1,1,0,0,TRUE,IG,RB,correct
0,3,1,0,0,0,FALSE,IG,RL,you must respond with both fingers
0,3,0,1,0,0,FALSE,IG,RR,you must respond with both fingers
0,3,0,0,1,1,FALSE,IG,RBO,you must respond with other fingers
0,3,0,0,1,0,FALSE,IG,RLO,you must respond with both other fingers
0,3,0,0,0,1,FALSE,IG,RRO,you must respond with both other fingers
0,3,0,0,0,0,FALSE,IG,NR,you must respond
1,3,0,0,1,1,TRUE,IG,RB,correct
1,3,0,0,1,0,FALSE,IG,RL,you must respond with both fingers
1,3,0,0,0,1,FALSE,IG,RR,you must respond with both fingers
1,3,1,1,0,0,FALSE,IG,RBO,you must respond with other fingers
1,3,1,0,0,0,FALSE,IG,RLO,you must respond with both other fingers
1,3,0,1,0,0,FALSE,IG,RRO,you must respond with both other fingers
1,3,0,0,0,0,FALSE,IG,NR,you must respond
2,3,1,1,0,0,TRUE,IG,RB,correct
2,3,1,0,0,0,FALSE,IG,RL,you must respond with both fingers
2,3,0,1,0,0,FALSE,IG,RR,you must respond with both fingers
2,3,0,0,1,1,FALSE,IG,RBO,you must respond with other fingers
2,3,0,0,1,0,FALSE,IG,RLO,you must respond with both other fingers
2,3,0,0,0,1,FALSE,IG,RRO,you must respond with both other fingers
2,3,0,0,0,0,FALSE,IG,NR,you must respond
3,3,0,0,1,1,TRUE,IG,RB,correct
3,3,0,0,1,0,FALSE,IG,RL,you must respond with both fingers
3,3,0,0,0,1,FALSE,IG,RR,you must respond with both fingers
3,3,1,1,0,0,FALSE,IG,RBO,you must respond with other fingers
3,3,1,0,0,0,FALSE,IG,RLO,you must respond with both other fingers
3,3,0,1,0,0,FALSE,IG,RRO,you must respond with both other fingers
3,3,0,0,0,0,FALSE,IG,NR,you must respond
4,3,1,1,0,0,TRUE,IG,RB,correct
4,3,1,0,0,0,FALSE,IG,RL,you must respond with both fingers
4,3,0,1,0,0,FALSE,IG,RR,you must respond with both fingers
4,3,0,0,1,1,FALSE,IG,RBO,you must respond with other fingers
4,3,0,0,1,0,FALSE,IG,RLO,you must respond with both other fingers
4,3,0,0,0,1,FALSE,IG,RRO,you must respond with both other fingers
4,3,0,0,0,0,FALSE,IG,NR,you must respond
5,3,0,0,1,1,TRUE,IG,RB,correct
5,3,0,0,1,0,FALSE,IG,RL,you must respond with both fingers
5,3,0,0,0,1,FALSE,IG,RR,you must respond with both fingers
5,3,1,1,0,0,FALSE,IG,RBO,you must respond with other fingers
5,3,1,0,0,0,FALSE,IG,RLO,you must respond with both other fingers
5,3,0,1,0,0,FALSE,IG,RRO,you must respond with both other fingers
5,3,0,0,0,0,FALSE,IG,NR,you must respond
6,3,1,1,0,0,TRUE,IG,RB,correct
6,3,1,0,0,0,FALSE,IG,RL,you must respond with both fingers
6,3,0,1,0,0,FALSE,IG,RR,you must respond with both fingers
6,3,0,0,1,1,FALSE,IG,RBO,you must respond with other fingers
6,3,0,0,1,0,FALSE,IG,RLO,you must respond with both other fingers
6,3,0,0,0,1,FALSE,IG,RRO,you must respond with both other fingers
6,3,0,0,0,0,FALSE,IG,NR,you must respond
7,3,0,0,1,1,TRUE,IG,RB,correct
7,3,0,0,1,0,FALSE,IG,RL,you must respond with both fingers
7,3,0,0,0,1,FALSE,IG,RR,you must respond with both fingers
7,3,1,1,0,0,FALSE,IG,RBO,you must respond with other fingers
7,3,1,0,0,0,FALSE,IG,RLO,you must respond with both other fingers
7,3,0,1,0,0,FALSE,IG,RRO,you must respond with both other fingers
7,3,0,0,0,0,FALSE,IG,NR,you must respond
8,3,1,1,0,0,TRUE,IG,RB,correct
8,3,1,0,0,0,FALSE,IG,RL,you must respond with both fingers
8,3,0,1,0,0,FALSE,IG,RR,you must respond with both fingers
8,3,0,0,1,1,FALSE,IG,RBO,you must respond with other fingers
8,3,0,0,1,0,FALSE,IG,RLO,you must respond with both other fingers
8,3,0,0,0,1,FALSE,IG,RRO,you must respond with both other fingers
8,3,0,0,0,0,FALSE,IG,NR,you must respond
9,3,0,0,1,1,TRUE,IG,RB,correct
9,3,0,0,1,0,FALSE,IG,RL,you must respond with both fingers
9,3,0,0,0,1,FALSE,IG,RR,you must respond with both fingers
9,3,1,1,0,0,FALSE,IG,RBO,you must respond with other fingers
9,3,1,0,0,0,FALSE,IG,RLO,you must respond with both other fingers
9,3,0,1,0,0,FALSE,IG,RRO,you must respond with both other fingers
9,3,0,0,0,0,FALSE,IG,NR,you must respond
