sessionIx,blockIx,trialIx,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,0,1,0,0,0.25,,,,1,0.25,1,,,,,1
1,0,2,0,0,0.25,,,,1,0.25,1,,,,,1
